Employee_ID,"Commission Result"
101,1700.00
102,1700.00
103,900.00
104,600.00
105,480.00
106,480.00
107,420.00
108,1200.80
109,900.00
110,820.00
111,770.00
112,780.00
113,690.00
114,1100.00
115,310.00
116,290.00
117,280.00
118,260.00
119,250.00
120,800.00
121,820.00
122,790.00
123,650.00
124,580.00
125,320.00
126,270.00
127,240.00
128,220.00
129,330.00
130,280.00
131,250.00
132,210.00
133,330.00
134,290.00
135,240.00
136,220.00
137,360.00
138,320.00
139,270.00
140,250.00
150,300.00
156,350.00
198,260.00
199,260.00
200,440.00
201,1300.00
202,600.00
203,650.00
204,1000.00
205,1200.80
206,830.00
300,400.00
